id,att
1,"orange,aroma,fruity,taste,beer"
2,"beer,flavor,color,taste,malty"
3,"orange,aroma,fruity,taste,beer"
4,"beer,flavor,color,taste,malty"
6,"beer,flavor,color,taste,malty"
7,"beer,taste,aroma,malt,bit"
9,"taste,beer,aroma,bottle,medium"
11,"beer,taste,light,bottle,alcohol"
12,"orange,aroma,fruity,taste,beer"
13,"bottle,flavor,caramel,beer,taste"
14,"hop,medium,malt,flavor,chocolate"
15,"beer,flavor,color,taste,malty"
16,"beer,taste,light,bottle,alcohol"
17,"beer,flavor,color,taste,malty"
18,"hop,medium,malt,flavor,chocolate"
19,"taste,beer,color,citrus,medium"
22,"beer,taste,light,bottle,alcohol"
23,"beer,flavor,color,taste,malty"
24,"beer,taste,flavor,chocolate,coffee"
25,"beer,taste,light,bottle,alcohol"
26,"beer,flavor,taste,aroma,color"
27,"beer,taste,aroma,malt,bit"
28,"beer,flavor,color,taste,malty"
29,"beer,taste,light,bottle,alcohol"
30,"beer,taste,light,bottle,alcohol"
32,"beer,taste,light,bottle,alcohol"
33,"beer,flavor,taste,aroma,color"
34,"beer,flavor,taste,aroma,color"
36,"beer,taste,light,bottle,alcohol"
37,"beer,flavor,color,taste,malty"
40,"beer,taste,flavor,chocolate,coffee"
41,"beer,taste,flavor,chocolate,coffee"
42,"beer,taste,aroma,malt,bit"
43,"orange,aroma,fruity,taste,beer"
44,"beer,taste,light,bottle,alcohol"
45,"beer,taste,flavor,chocolate,coffee"
46,"taste,beer,color,citrus,medium"
47,"beer,flavor,color,taste,malty"
48,"taste,beer,color,citrus,medium"
49,"beer,taste,light,bottle,alcohol"
50,"orange,aroma,fruity,taste,beer"
52,"taste,beer,aroma,bottle,medium"
53,"beer,taste,light,bottle,alcohol"
54,"taste,beer,color,citrus,medium"
55,"beer,taste,aroma,malt,bit"
57,"beer,taste,aroma,malt,bit"
60,"beer,flavor,taste,aroma,color"
61,"beer,taste,light,bottle,alcohol"
65,"beer,taste,light,bottle,alcohol"
66,"beer,taste,light,bottle,alcohol"
69,"orange,aroma,fruity,taste,beer"
70,"beer,flavor,taste,aroma,color"
71,"beer,flavor,taste,aroma,color"
73,"beer,flavor,taste,aroma,color"
74,"bottle,flavor,caramel,beer,taste"
75,"beer,taste,flavor,chocolate,coffee"
77,"beer,flavor,taste,aroma,color"
78,"beer,flavor,taste,aroma,color"
80,"taste,beer,aroma,bottle,medium"
81,"beer,taste,light,bottle,alcohol"
82,"beer,flavor,taste,aroma,color"
83,"beer,taste,light,bottle,alcohol"
85,"beer,taste,light,bottle,alcohol"
86,"bottle,flavor,caramel,beer,taste"
88,"beer,taste,light,bottle,alcohol"
89,"beer,flavor,color,taste,malty"
90,"beer,flavor,color,taste,malty"
91,"beer,taste,flavor,chocolate,coffee"
93,"beer,taste,light,bottle,alcohol"
94,"beer,taste,light,bottle,alcohol"
95,"beer,flavor,color,taste,malty"
97,"beer,flavor,taste,aroma,color"
98,"beer,taste,light,bottle,alcohol"
99,"beer,taste,light,bottle,alcohol"
101,"beer,flavor,color,taste,malty"
102,"beer,taste,light,bottle,alcohol"
104,"taste,beer,color,citrus,medium"
106,"beer,taste,light,bottle,alcohol"
107,"beer,flavor,taste,aroma,color"
108,"beer,taste,light,bottle,alcohol"
110,"beer,taste,light,bottle,alcohol"
111,"beer,flavor,color,taste,malty"
112,"beer,taste,light,bottle,alcohol"
113,"beer,taste,light,bottle,alcohol"
115,"beer,flavor,taste,aroma,color"
117,"beer,taste,light,bottle,alcohol"
118,"beer,taste,flavor,chocolate,coffee"
120,"beer,taste,flavor,chocolate,coffee"
122,"beer,taste,light,bottle,alcohol"
123,"beer,taste,aroma,malt,bit"
124,"beer,flavor,taste,aroma,color"
125,"beer,taste,light,bottle,alcohol"
126,"beer,flavor,taste,aroma,color"
127,"beer,taste,light,bottle,alcohol"
129,"beer,flavor,color,taste,malty"
131,"beer,taste,light,bottle,alcohol"
132,"beer,taste,flavor,chocolate,coffee"
133,"hop,medium,malt,flavor,chocolate"
134,"beer,flavor,color,taste,malty"
135,"bottle,flavor,caramel,beer,taste"
136,"beer,taste,light,bottle,alcohol"
139,"orange,aroma,fruity,taste,beer"
141,"beer,taste,light,bottle,alcohol"
143,"taste,beer,color,citrus,medium"
144,"beer,taste,light,bottle,alcohol"
145,"beer,flavor,color,taste,malty"
146,"beer,taste,light,bottle,alcohol"
147,"beer,flavor,color,taste,malty"
148,"bottle,flavor,caramel,beer,taste"
149,"beer,flavor,taste,aroma,color"
151,"beer,taste,light,bottle,alcohol"
152,"orange,aroma,fruity,taste,beer"
154,"beer,flavor,taste,aroma,color"
155,"beer,taste,light,bottle,alcohol"
157,"taste,beer,color,citrus,medium"
159,"beer,flavor,taste,aroma,color"
160,"beer,taste,aroma,malt,bit"
161,"taste,beer,aroma,bottle,medium"
162,"beer,taste,light,bottle,alcohol"
163,"beer,taste,aroma,malt,bit"
166,"beer,taste,light,bottle,alcohol"
167,"beer,taste,light,bottle,alcohol"
168,"orange,aroma,fruity,taste,beer"
170,"taste,beer,aroma,bottle,medium"
172,"beer,taste,flavor,chocolate,coffee"
173,"orange,aroma,fruity,taste,beer"
174,"beer,flavor,color,taste,malty"
175,"beer,flavor,color,taste,malty"
176,"beer,flavor,taste,aroma,color"
178,"beer,taste,flavor,chocolate,coffee"
179,"beer,taste,aroma,malt,bit"
180,"orange,aroma,fruity,taste,beer"
181,"taste,beer,color,citrus,medium"
183,"bottle,flavor,caramel,beer,taste"
186,"beer,flavor,color,taste,malty"
187,"beer,flavor,color,taste,malty"
188,"orange,aroma,fruity,taste,beer"
190,"beer,flavor,color,taste,malty"
191,"beer,flavor,color,taste,malty"
193,"beer,taste,light,bottle,alcohol"
194,"beer,flavor,taste,aroma,color"
195,"beer,taste,light,bottle,alcohol"
196,"beer,taste,light,bottle,alcohol"
198,"beer,taste,light,bottle,alcohol"
199,"beer,taste,light,bottle,alcohol"
201,"beer,taste,light,bottle,alcohol"
202,"beer,taste,flavor,chocolate,coffee"
203,"orange,aroma,fruity,taste,beer"
204,"beer,taste,light,bottle,alcohol"
208,"beer,flavor,taste,aroma,color"
209,"beer,flavor,taste,aroma,color"
211,"beer,taste,aroma,malt,bit"
212,"beer,taste,light,bottle,alcohol"
213,"orange,aroma,fruity,taste,beer"
214,"beer,flavor,color,taste,malty"
215,"beer,flavor,taste,aroma,color"
216,"beer,flavor,taste,aroma,color"
219,"beer,taste,light,bottle,alcohol"
220,"beer,taste,light,bottle,alcohol"
221,"beer,taste,light,bottle,alcohol"
222,"beer,taste,light,bottle,alcohol"
223,"beer,taste,light,bottle,alcohol"
224,"taste,beer,color,citrus,medium"
226,"taste,beer,color,citrus,medium"
229,"taste,beer,color,citrus,medium"
230,"beer,taste,light,bottle,alcohol"
231,"beer,taste,light,bottle,alcohol"
232,"taste,beer,color,citrus,medium"
234,"taste,beer,color,citrus,medium"
235,"beer,taste,light,bottle,alcohol"
236,"beer,taste,light,bottle,alcohol"
237,"taste,beer,aroma,bottle,medium"
238,"beer,taste,flavor,chocolate,coffee"
239,"beer,taste,flavor,chocolate,coffee"
240,"beer,taste,light,bottle,alcohol"
242,"taste,beer,color,citrus,medium"
243,"beer,taste,light,bottle,alcohol"
244,"taste,beer,color,citrus,medium"
247,"taste,beer,color,citrus,medium"
248,"taste,beer,color,citrus,medium"
249,"beer,taste,light,bottle,alcohol"
250,"taste,beer,color,citrus,medium"
251,"taste,beer,color,citrus,medium"
252,"orange,aroma,fruity,taste,beer"
253,"taste,beer,color,citrus,medium"
256,"beer,flavor,color,taste,malty"
257,"beer,flavor,color,taste,malty"
259,"beer,flavor,color,taste,malty"
260,"beer,flavor,taste,aroma,color"
261,"beer,taste,light,bottle,alcohol"
262,"beer,flavor,taste,aroma,color"
263,"beer,taste,light,bottle,alcohol"
264,"bottle,flavor,caramel,beer,taste"
268,"beer,flavor,taste,aroma,color"
270,"beer,flavor,taste,aroma,color"
271,"beer,taste,light,bottle,alcohol"
272,"beer,flavor,color,taste,malty"
273,"beer,taste,light,bottle,alcohol"
274,"beer,taste,flavor,chocolate,coffee"
276,"beer,taste,light,bottle,alcohol"
277,"orange,aroma,fruity,taste,beer"
279,"beer,taste,light,bottle,alcohol"
281,"beer,taste,light,bottle,alcohol"
282,"beer,flavor,taste,aroma,color"
283,"beer,flavor,color,taste,malty"
284,"beer,flavor,color,taste,malty"
285,"beer,taste,light,bottle,alcohol"
286,"orange,aroma,fruity,taste,beer"
287,"beer,flavor,color,taste,malty"
288,"beer,flavor,color,taste,malty"
289,"beer,taste,flavor,chocolate,coffee"
290,"beer,taste,light,bottle,alcohol"
292,"beer,taste,aroma,malt,bit"
294,"beer,taste,light,bottle,alcohol"
296,"beer,flavor,taste,aroma,color"
297,"taste,beer,color,citrus,medium"
299,"taste,beer,color,citrus,medium"
300,"beer,taste,light,bottle,alcohol"
301,"orange,aroma,fruity,taste,beer"
302,"orange,aroma,fruity,taste,beer"
303,"beer,taste,light,bottle,alcohol"
304,"beer,taste,light,bottle,alcohol"
305,"taste,beer,color,citrus,medium"
307,"beer,taste,flavor,chocolate,coffee"
308,"orange,aroma,fruity,taste,beer"
309,"beer,taste,light,bottle,alcohol"
310,"taste,beer,color,citrus,medium"
311,"beer,taste,flavor,chocolate,coffee"
312,"beer,taste,light,bottle,alcohol"
313,"beer,flavor,taste,aroma,color"
315,"beer,flavor,color,taste,malty"
317,"beer,taste,light,bottle,alcohol"
319,"beer,taste,light,bottle,alcohol"
320,"beer,taste,flavor,chocolate,coffee"
321,"beer,taste,flavor,chocolate,coffee"
322,"bottle,flavor,caramel,beer,taste"
323,"beer,flavor,taste,aroma,color"
324,"beer,taste,flavor,chocolate,coffee"
325,"beer,taste,aroma,malt,bit"
326,"beer,taste,light,bottle,alcohol"
327,"beer,flavor,color,taste,malty"
328,"beer,flavor,taste,aroma,color"
329,"beer,flavor,taste,aroma,color"
330,"beer,flavor,color,taste,malty"
333,"beer,taste,flavor,chocolate,coffee"
335,"beer,flavor,taste,aroma,color"
336,"beer,taste,light,bottle,alcohol"
338,"beer,taste,light,bottle,alcohol"
339,"bottle,flavor,caramel,beer,taste"
340,"beer,flavor,color,taste,malty"
341,"beer,taste,light,bottle,alcohol"
342,"beer,taste,flavor,chocolate,coffee"
344,"taste,beer,color,citrus,medium"
345,"beer,taste,aroma,malt,bit"
347,"beer,flavor,color,taste,malty"
349,"beer,taste,aroma,malt,bit"
350,"beer,taste,aroma,malt,bit"
351,"beer,taste,light,bottle,alcohol"
353,"beer,flavor,color,taste,malty"
354,"beer,taste,flavor,chocolate,coffee"
356,"beer,taste,flavor,chocolate,coffee"
357,"taste,beer,aroma,bottle,medium"
358,"beer,flavor,color,taste,malty"
359,"beer,taste,light,bottle,alcohol"
360,"taste,beer,color,citrus,medium"
362,"beer,flavor,taste,aroma,color"
363,"beer,taste,flavor,chocolate,coffee"
365,"beer,flavor,taste,aroma,color"
366,"beer,taste,light,bottle,alcohol"
368,"beer,taste,flavor,chocolate,coffee"
369,"beer,taste,light,bottle,alcohol"
370,"beer,taste,aroma,malt,bit"
371,"beer,taste,light,bottle,alcohol"
372,"beer,taste,aroma,malt,bit"
373,"beer,taste,light,bottle,alcohol"
374,"orange,aroma,fruity,taste,beer"
376,"beer,taste,light,bottle,alcohol"
377,"beer,flavor,taste,aroma,color"
378,"beer,taste,light,bottle,alcohol"
380,"taste,beer,color,citrus,medium"
